Data Science Skills,Variable Name,Search Criteria
Big Data,BigData,BIG DATA
Business Knowledge,BusinessKnowledge,BUSINESS KNOWLEDGE
Cloud Computing,CloudComputing,CLOUD COMPUTING
Communication Skills,CommunicationSkills,COMMUNICATION SKILLS
Data Analysis,DataAnalysis,DATA ANALYSIS
Data Intuition,DataIntuition,DATA INTUITION
Data Manipulation,DataManipulation,DATA MANIPULATION
Database Management,DatabaseManagement,DATABASE MANAGEMENT
Deep Learning,DeepLearning,DEEP LEARNING
Hadoop,Hadoop,HADOOP
IBM DB2,IBMDB2,IBM DB2
Java,Java,JAVA
Julia,Julia,JULIA
Machine Learning,MachineLearning,MACHINE LEARNING
Mathematics,Mathematics,MATHEMATICS
MATLAB,MATLAB,MATLAB
Microsoft Access,MicrosoftAccess,MICROSOFT ACCESS
Microsoft Excel,MicrosoftExcel,MICROSOFT EXCEL
Microsoft PowerPoint,MicrosoftPowerPoint,MICROSOFT POWERPOINT
Data Mining,DataMining,DATA MINING
Data Model,DataModel,DATA MODEL
MongoDB,MongoDB,MONGODB
MySQL,MySQL,MYSQL
Natural Language Processing,NaturalLanguageProcessing,NATURAL LANGUAGE PROCESSING
Networking,Networking,NETWORKING
NoSQL,NoSQL,NOSQL
Oracle,Oracle,ORACLE
PostgreSQL,PostgreSQL,POSTGRESQL
Power BI,PowerBI,POWER BI
Predictive Analysis,PredictiveAnalysis,PREDICTIVE ANALYSIS
Probability,Probability,PROBABILITY
Programming,Programming,PROGRAMMING
Project Manager,ProjectManager,PROJECT MANAGER
Python,Python,PYTHON
R,R,R
Scala,Scala,SCALA
Software Engineering,SoftwareEngineering,SOFTWARE ENGINEERING
Spark,Spark,SPARK
SQL Server,SQLServer,SQL SERVER
Statistics,Statistics,STATISTICS
Storytelling Skills,StorytellingSkills,STORYTELLING SKILLS
Structured Thinking,StructuredThinking,STRUCTURED THINKING
Tableau,Tableau,TABLEAU
Team Player,TeamPlayer,TEAM PLAYER
TensorFlow,TensorFlow,TENSORFLOW
Time Series,TimeSeries,TIME SERIES
Transform Data,TransformData,TRANSFORM DATA
Trend,Trend,TREND
Visual Basic,VisualBasic,VISUAL BASIC
Visualization,Visualization,VISUALIZATION
Web API,WebAPI,WEB API
Web Scraping,WebScraping,WEB SCRAPING
Wrangling,Wrangling,WRANGLING
